T/s,I_se/nA,Type
12.33333333,15.5921,$\mathit{I}_\mathrm{PE}$
12.35,15.5895,$\mathit{I}_\mathrm{PE}$
12.36666667,15.7138,$\mathit{I}_\mathrm{PE}$
12.38333333,15.8178,$\mathit{I}_\mathrm{PE}$
12.4,15.9956,$\mathit{I}_\mathrm{PE}$
12.41666667,16.2152,$\mathit{I}_\mathrm{PE}$
12.43333333,16.1389,$\mathit{I}_\mathrm{PE}$
12.45,16.8243,$\mathit{I}_\mathrm{PE}$
12.46666667,17.3591,$\mathit{I}_\mathrm{PE}$
12.48333333,17.4007,$\mathit{I}_\mathrm{PE}$
12.5,17.5497,$\mathit{I}_\mathrm{PE}$
12.51666667,17.9234,$\mathit{I}_\mathrm{PE}$
12.53333333,18.1649,$\mathit{I}_\mathrm{PE}$
12.55,19.5584,$\mathit{I}_\mathrm{PE}$
12.56666667,19.3041,$\mathit{I}_\mathrm{PE}$
12.58333333,20.1612,$\mathit{I}_\mathrm{PE}$
12.6,20.3818,$\mathit{I}_\mathrm{PE}$
12.61666667,20.4079,$\mathit{I}_\mathrm{PE}$
12.63333333,21.5706,$\mathit{I}_\mathrm{PE}$
12.65,21.9421,$\mathit{I}_\mathrm{PE}$
12.66666667,21.5977,$\mathit{I}_\mathrm{PE}$
12.68333333,22.741,$\mathit{I}_\mathrm{PE}$
12.7,22.1507,$\mathit{I}_\mathrm{PE}$
12.71666667,23.407,$\mathit{I}_\mathrm{PE}$
12.73333333,23.3392,$\mathit{I}_\mathrm{PE}$
12.75,23.8924,$\mathit{I}_\mathrm{PE}$
12.76666667,24.5428,$\mathit{I}_\mathrm{PE}$
12.78333333,24.0245,$\mathit{I}_\mathrm{PE}$
12.8,24.9571,$\mathit{I}_\mathrm{PE}$
12.81666667,25.8248,$\mathit{I}_\mathrm{PE}$
12.83333333,25.8475,$\mathit{I}_\mathrm{PE}$
12.85,25.4017,$\mathit{I}_\mathrm{PE}$
12.86666667,25.51,$\mathit{I}_\mathrm{PE}$
12.88333333,26.0826,$\mathit{I}_\mathrm{PE}$
12.9,26.6411,$\mathit{I}_\mathrm{PE}$
12.91666667,27.2902,$\mathit{I}_\mathrm{PE}$
12.93333333,27.9485,$\mathit{I}_\mathrm{PE}$
12.95,28.8726,$\mathit{I}_\mathrm{PE}$
12.96666667,28.6033,$\mathit{I}_\mathrm{PE}$
12.98333333,28.6677,$\mathit{I}_\mathrm{PE}$
13,29.6746,$\mathit{I}_\mathrm{PE}$
13.01666667,30.0951,$\mathit{I}_\mathrm{PE}$
13.03333333,30.0054,$\mathit{I}_\mathrm{PE}$
13.05,30.4504,$\mathit{I}_\mathrm{PE}$
13.06666667,32.3144,$\mathit{I}_\mathrm{PE}$
13.08333333,32.245,$\mathit{I}_\mathrm{PE}$
13.1,34.3537,$\mathit{I}_\mathrm{PE}$
13.11666667,34.6283,$\mathit{I}_\mathrm{PE}$
13.13333333,34.8456,$\mathit{I}_\mathrm{PE}$
13.15,36.1729,$\mathit{I}_\mathrm{PE}$
13.16666667,36.5179,$\mathit{I}_\mathrm{PE}$
13.18333333,37.678,$\mathit{I}_\mathrm{PE}$
13.2,38.2759,$\mathit{I}_\mathrm{PE}$
13.21666667,39.0371,$\mathit{I}_\mathrm{PE}$
13.23333333,38.2795,$\mathit{I}_\mathrm{PE}$
13.25,40.8195,$\mathit{I}_\mathrm{PE}$
13.26666667,40.7873,$\mathit{I}_\mathrm{PE}$
13.28333333,40.7606,$\mathit{I}_\mathrm{PE}$
13.3,39.974,$\mathit{I}_\mathrm{PE}$
13.31666667,41.009,$\mathit{I}_\mathrm{PE}$
13.33333333,38.6971,$\mathit{I}_\mathrm{PE}$
13.35,39.5602,$\mathit{I}_\mathrm{PE}$
13.36666667,40.6878,$\mathit{I}_\mathrm{PE}$
13.38333333,41.1274,$\mathit{I}_\mathrm{PE}$
13.4,41.2842,$\mathit{I}_\mathrm{PE}$
13.41666667,41.0772,$\mathit{I}_\mathrm{PE}$
13.43333333,40.8074,$\mathit{I}_\mathrm{PE}$
13.45,41.496,$\mathit{I}_\mathrm{PE}$
13.46666667,40.5965,$\mathit{I}_\mathrm{PE}$
13.48333333,40.3754,$\mathit{I}_\mathrm{PE}$
13.5,41.6299,$\mathit{I}_\mathrm{PE}$
13.51666667,40.4959,$\mathit{I}_\mathrm{PE}$
13.53333333,39.8655,$\mathit{I}_\mathrm{PE}$
13.55,41.1436,$\mathit{I}_\mathrm{PE}$
13.56666667,40.1222,$\mathit{I}_\mathrm{PE}$
13.58333333,39.4536,$\mathit{I}_\mathrm{PE}$
13.6,40.0505,$\mathit{I}_\mathrm{PE}$
13.61666667,41.5472,$\mathit{I}_\mathrm{PE}$
13.63333333,41.4661,$\mathit{I}_\mathrm{PE}$
13.65,41.0328,$\mathit{I}_\mathrm{PE}$
13.66666667,40.8099,$\mathit{I}_\mathrm{PE}$
13.68333333,42.7199,$\mathit{I}_\mathrm{PE}$
13.7,42.2223,$\mathit{I}_\mathrm{PE}$
13.71666667,43.9884,$\mathit{I}_\mathrm{PE}$
13.73333333,43.4784,$\mathit{I}_\mathrm{PE}$
13.75,41.9526,$\mathit{I}_\mathrm{PE}$
13.76666667,42.9136,$\mathit{I}_\mathrm{PE}$
13.78333333,43.6467,$\mathit{I}_\mathrm{PE}$
13.8,44.5824,$\mathit{I}_\mathrm{PE}$
13.81666667,43.6104,$\mathit{I}_\mathrm{PE}$
13.83333333,45.1038,$\mathit{I}_\mathrm{PE}$
13.85,43.9617,$\mathit{I}_\mathrm{PE}$
13.86666667,45.4155,$\mathit{I}_\mathrm{PE}$
13.88333333,44.107,$\mathit{I}_\mathrm{PE}$
13.9,42.8107,$\mathit{I}_\mathrm{PE}$
13.91666667,43.5366,$\mathit{I}_\mathrm{PE}$
13.93333333,44.9845,$\mathit{I}_\mathrm{PE}$
13.95,43.7894,$\mathit{I}_\mathrm{PE}$
13.96666667,44.6465,$\mathit{I}_\mathrm{PE}$
13.98333333,42.7485,$\mathit{I}_\mathrm{PE}$
14,43.8914,$\mathit{I}_\mathrm{PE}$
14.01666667,45.1224,$\mathit{I}_\mathrm{PE}$
14.03333333,45.091,$\mathit{I}_\mathrm{PE}$
14.05,45.5194,$\mathit{I}_\mathrm{PE}$
14.06666667,44.726,$\mathit{I}_\mathrm{PE}$
14.08333333,46.3851,$\mathit{I}_\mathrm{PE}$
14.1,44.8848,$\mathit{I}_\mathrm{PE}$
14.11666667,44.8488,$\mathit{I}_\mathrm{PE}$
14.13333333,44.2207,$\mathit{I}_\mathrm{PE}$
14.15,44.8527,$\mathit{I}_\mathrm{PE}$
14.16666667,44.3139,$\mathit{I}_\mathrm{PE}$
14.18333333,44.39,$\mathit{I}_\mathrm{PE}$
14.2,45.4408,$\mathit{I}_\mathrm{PE}$
14.21666667,46.6703,$\mathit{I}_\mathrm{PE}$
14.23333333,45.5276,$\mathit{I}_\mathrm{PE}$
14.25,46.8957,$\mathit{I}_\mathrm{PE}$
14.26666667,47.5037,$\mathit{I}_\mathrm{PE}$
14.28333333,46.0535,$\mathit{I}_\mathrm{PE}$
14.3,46.6788,$\mathit{I}_\mathrm{PE}$
14.31666667,45.7199,$\mathit{I}_\mathrm{PE}$
14.33333333,47.6812,$\mathit{I}_\mathrm{PE}$
14.35,44.7484,$\mathit{I}_\mathrm{PE}$
14.36666667,47.4583,$\mathit{I}_\mathrm{PE}$
14.38333333,46.7874,$\mathit{I}_\mathrm{PE}$
14.4,45.8579,$\mathit{I}_\mathrm{PE}$
14.41666667,45.5943,$\mathit{I}_\mathrm{PE}$
14.43333333,46.3469,$\mathit{I}_\mathrm{PE}$
14.45,45.1748,$\mathit{I}_\mathrm{PE}$
14.46666667,47.4994,$\mathit{I}_\mathrm{PE}$
14.48333333,47.7467,$\mathit{I}_\mathrm{PE}$
14.5,47.9321,$\mathit{I}_\mathrm{PE}$
14.51666667,44.9827,$\mathit{I}_\mathrm{PE}$
14.53333333,44.9648,$\mathit{I}_\mathrm{PE}$
14.55,45.8863,$\mathit{I}_\mathrm{PE}$
14.56666667,45.4868,$\mathit{I}_\mathrm{PE}$
14.58333333,46.1983,$\mathit{I}_\mathrm{PE}$
14.6,46.2328,$\mathit{I}_\mathrm{PE}$
14.61666667,47.3252,$\mathit{I}_\mathrm{PE}$
14.63333333,47.7089,$\mathit{I}_\mathrm{PE}$
14.65,47.1161,$\mathit{I}_\mathrm{PE}$
14.66666667,45.0844,$\mathit{I}_\mathrm{PE}$
14.68333333,45.402,$\mathit{I}_\mathrm{PE}$
14.7,47.1604,$\mathit{I}_\mathrm{PE}$
14.71666667,47.0799,$\mathit{I}_\mathrm{PE}$
14.73333333,46.6567,$\mathit{I}_\mathrm{PE}$
14.75,46.5368,$\mathit{I}_\mathrm{PE}$
14.76666667,47.2669,$\mathit{I}_\mathrm{PE}$
14.78333333,45.2486,$\mathit{I}_\mathrm{PE}$
14.8,48.0866,$\mathit{I}_\mathrm{PE}$
14.81666667,45.398,$\mathit{I}_\mathrm{PE}$
14.83333333,46.6802,$\mathit{I}_\mathrm{PE}$
14.85,46.1441,$\mathit{I}_\mathrm{PE}$
14.86666667,47.1433,$\mathit{I}_\mathrm{PE}$
14.88333333,47.294,$\mathit{I}_\mathrm{PE}$
14.9,47.8581,$\mathit{I}_\mathrm{PE}$
14.91666667,47.7602,$\mathit{I}_\mathrm{PE}$
14.93333333,48.6244,$\mathit{I}_\mathrm{PE}$
14.95,48.7172,$\mathit{I}_\mathrm{PE}$
14.96666667,48.4695,$\mathit{I}_\mathrm{PE}$
14.98333333,46.2651,$\mathit{I}_\mathrm{PE}$
15,47.4686,$\mathit{I}_\mathrm{PE}$
15.01666667,48.6279,$\mathit{I}_\mathrm{PE}$
15.03333333,48.9724,$\mathit{I}_\mathrm{PE}$
15.05,48.9531,$\mathit{I}_\mathrm{PE}$
15.06666667,47.5538,$\mathit{I}_\mathrm{PE}$
15.08333333,48.949,$\mathit{I}_\mathrm{PE}$
15.1,46.453,$\mathit{I}_\mathrm{PE}$
15.11666667,47.3813,$\mathit{I}_\mathrm{PE}$
15.13333333,48.6008,$\mathit{I}_\mathrm{PE}$
15.15,48.7089,$\mathit{I}_\mathrm{PE}$
15.16666667,47.7075,$\mathit{I}_\mathrm{PE}$
15.18333333,48.1146,$\mathit{I}_\mathrm{PE}$
15.2,46.8307,$\mathit{I}_\mathrm{PE}$
15.21666667,48.3283,$\mathit{I}_\mathrm{PE}$
15.23333333,46.7101,$\mathit{I}_\mathrm{PE}$
15.25,49.2307,$\mathit{I}_\mathrm{PE}$
15.26666667,46.6606,$\mathit{I}_\mathrm{PE}$
15.28333333,46.7774,$\mathit{I}_\mathrm{PE}$
15.3,48.5164,$\mathit{I}_\mathrm{PE}$
15.31666667,48.9771,$\mathit{I}_\mathrm{PE}$
15.33333333,47.1089,$\mathit{I}_\mathrm{PE}$
15.35,49.1806,$\mathit{I}_\mathrm{PE}$
15.36666667,49.0259,$\mathit{I}_\mathrm{PE}$
15.38333333,49.2272,$\mathit{I}_\mathrm{PE}$
15.4,47.4936,$\mathit{I}_\mathrm{PE}$
15.41666667,50.3946,$\mathit{I}_\mathrm{PE}$
15.43333333,47.5105,$\mathit{I}_\mathrm{PE}$
15.45,50.237,$\mathit{I}_\mathrm{PE}$
15.46666667,49.3039,$\mathit{I}_\mathrm{PE}$
15.48333333,49.8008,$\mathit{I}_\mathrm{PE}$
15.5,50.8303,$\mathit{I}_\mathrm{PE}$
15.51666667,49.6887,$\mathit{I}_\mathrm{PE}$
15.53333333,50.4959,$\mathit{I}_\mathrm{PE}$
15.55,50.6663,$\mathit{I}_\mathrm{PE}$
15.56666667,50.7794,$\mathit{I}_\mathrm{PE}$
15.58333333,49.9922,$\mathit{I}_\mathrm{PE}$
15.6,50.0437,$\mathit{I}_\mathrm{PE}$
15.61666667,50.9271,$\mathit{I}_\mathrm{PE}$
15.63333333,50.0264,$\mathit{I}_\mathrm{PE}$
15.65,48.5421,$\mathit{I}_\mathrm{PE}$
15.66666667,48.8495,$\mathit{I}_\mathrm{PE}$
15.68333333,49.2334,$\mathit{I}_\mathrm{PE}$
15.7,49.9479,$\mathit{I}_\mathrm{PE}$
15.71666667,48.443,$\mathit{I}_\mathrm{PE}$
15.73333333,49.4006,$\mathit{I}_\mathrm{PE}$
15.75,51.5523,$\mathit{I}_\mathrm{PE}$
15.76666667,49.9733,$\mathit{I}_\mathrm{PE}$
15.78333333,48.3203,$\mathit{I}_\mathrm{PE}$
15.8,48.6969,$\mathit{I}_\mathrm{PE}$
15.81666667,51.3913,$\mathit{I}_\mathrm{PE}$
15.83333333,48.8887,$\mathit{I}_\mathrm{PE}$
15.85,50.5689,$\mathit{I}_\mathrm{PE}$
15.86666667,51.1781,$\mathit{I}_\mathrm{PE}$
15.88333333,51.2663,$\mathit{I}_\mathrm{PE}$
15.9,49.4156,$\mathit{I}_\mathrm{PE}$
15.91666667,50.2645,$\mathit{I}_\mathrm{PE}$
15.93333333,51.5285,$\mathit{I}_\mathrm{PE}$
15.95,50.4984,$\mathit{I}_\mathrm{PE}$
15.96666667,49.1667,$\mathit{I}_\mathrm{PE}$
15.98333333,51.0777,$\mathit{I}_\mathrm{PE}$
16,49.9572,$\mathit{I}_\mathrm{PE}$
16.01666667,48.3022,$\mathit{I}_\mathrm{PE}$
16.03333333,51.2795,$\mathit{I}_\mathrm{PE}$
16.05,50.2193,$\mathit{I}_\mathrm{PE}$
16.06666667,50.5329,$\mathit{I}_\mathrm{PE}$
16.08333333,49.3668,$\mathit{I}_\mathrm{PE}$
16.1,48.6048,$\mathit{I}_\mathrm{PE}$
16.11666667,49.6397,$\mathit{I}_\mathrm{PE}$
16.13333333,51.5169,$\mathit{I}_\mathrm{PE}$
16.15,48.6818,$\mathit{I}_\mathrm{PE}$
16.16666667,51.1558,$\mathit{I}_\mathrm{PE}$
16.18333333,51.1976,$\mathit{I}_\mathrm{PE}$
16.2,50.3899,$\mathit{I}_\mathrm{PE}$
16.21666667,49.6951,$\mathit{I}_\mathrm{PE}$
16.23333333,51.3249,$\mathit{I}_\mathrm{PE}$
16.25,51.4263,$\mathit{I}_\mathrm{PE}$
16.26666667,50.6078,$\mathit{I}_\mathrm{PE}$
16.28333333,51.5779,$\mathit{I}_\mathrm{PE}$
16.3,48.4785,$\mathit{I}_\mathrm{PE}$
16.31666667,50.7647,$\mathit{I}_\mathrm{PE}$
16.33333333,48.8041,$\mathit{I}_\mathrm{PE}$
16.35,49.046,$\mathit{I}_\mathrm{PE}$
16.36666667,51.1259,$\mathit{I}_\mathrm{PE}$
16.38333333,50.8711,$\mathit{I}_\mathrm{PE}$
16.4,49.6775,$\mathit{I}_\mathrm{PE}$
16.41666667,50.5249,$\mathit{I}_\mathrm{PE}$
16.43333333,51.0245,$\mathit{I}_\mathrm{PE}$
16.45,50.0574,$\mathit{I}_\mathrm{PE}$
16.46666667,48.8807,$\mathit{I}_\mathrm{PE}$
16.48333333,50.844,$\mathit{I}_\mathrm{PE}$
16.5,51.0465,$\mathit{I}_\mathrm{PE}$
16.51666667,50.4949,$\mathit{I}_\mathrm{PE}$
16.53333333,49.9051,$\mathit{I}_\mathrm{PE}$
16.55,49.764,$\mathit{I}_\mathrm{PE}$
16.56666667,49.395,$\mathit{I}_\mathrm{PE}$
16.58333333,49.8815,$\mathit{I}_\mathrm{PE}$
16.6,51.0114,$\mathit{I}_\mathrm{PE}$
16.61666667,51.4256,$\mathit{I}_\mathrm{PE}$
16.63333333,50.0586,$\mathit{I}_\mathrm{PE}$
16.65,51.0739,$\mathit{I}_\mathrm{PE}$
16.66666667,50.6842,$\mathit{I}_\mathrm{PE}$
16.68333333,50.5294,$\mathit{I}_\mathrm{PE}$
16.7,47.9978,$\mathit{I}_\mathrm{PE}$
16.71666667,47.6669,$\mathit{I}_\mathrm{PE}$
16.73333333,50.7143,$\mathit{I}_\mathrm{PE}$
16.75,50.2634,$\mathit{I}_\mathrm{PE}$
16.76666667,50.2089,$\mathit{I}_\mathrm{PE}$
16.78333333,48.4872,$\mathit{I}_\mathrm{PE}$
16.8,50.1147,$\mathit{I}_\mathrm{PE}$
16.81666667,48.6689,$\mathit{I}_\mathrm{PE}$
16.83333333,48.7441,$\mathit{I}_\mathrm{PE}$
16.85,47.9512,$\mathit{I}_\mathrm{PE}$
16.86666667,48.9799,$\mathit{I}_\mathrm{PE}$
16.88333333,47.4298,$\mathit{I}_\mathrm{PE}$
16.9,49.0891,$\mathit{I}_\mathrm{PE}$
16.91666667,49.7045,$\mathit{I}_\mathrm{PE}$
16.93333333,50.0202,$\mathit{I}_\mathrm{PE}$
16.95,50.4788,$\mathit{I}_\mathrm{PE}$
16.96666667,48.8824,$\mathit{I}_\mathrm{PE}$
16.98333333,49.2891,$\mathit{I}_\mathrm{PE}$
17,49.8329,$\mathit{I}_\mathrm{PE}$
17.01666667,50.1512,$\mathit{I}_\mathrm{PE}$
17.03333333,48.8778,$\mathit{I}_\mathrm{PE}$
17.05,50.016,$\mathit{I}_\mathrm{PE}$
17.06666667,48.5327,$\mathit{I}_\mathrm{PE}$
17.08333333,47.9094,$\mathit{I}_\mathrm{PE}$
17.1,49.1322,$\mathit{I}_\mathrm{PE}$
17.11666667,49.7861,$\mathit{I}_\mathrm{PE}$
17.13333333,49.5546,$\mathit{I}_\mathrm{PE}$
17.15,48.8305,$\mathit{I}_\mathrm{PE}$
17.16666667,50.0505,$\mathit{I}_\mathrm{PE}$
17.18333333,49.1364,$\mathit{I}_\mathrm{PE}$
17.2,49.9331,$\mathit{I}_\mathrm{PE}$
17.21666667,49.2062,$\mathit{I}_\mathrm{PE}$
17.23333333,48.0679,$\mathit{I}_\mathrm{PE}$
17.25,49.5687,$\mathit{I}_\mathrm{PE}$
17.26666667,50.0692,$\mathit{I}_\mathrm{PE}$
17.28333333,48.1114,$\mathit{I}_\mathrm{PE}$
17.3,48.9135,$\mathit{I}_\mathrm{PE}$
17.31666667,49.56,$\mathit{I}_\mathrm{PE}$
17.33333333,48.2827,$\mathit{I}_\mathrm{PE}$
17.35,49.043,$\mathit{I}_\mathrm{PE}$
17.36666667,47.6978,$\mathit{I}_\mathrm{PE}$
17.38333333,49.1391,$\mathit{I}_\mathrm{PE}$
17.4,49.8825,$\mathit{I}_\mathrm{PE}$
17.41666667,47.8198,$\mathit{I}_\mathrm{PE}$
17.43333333,48.4593,$\mathit{I}_\mathrm{PE}$
17.45,49.0507,$\mathit{I}_\mathrm{PE}$
17.46666667,49.3324,$\mathit{I}_\mathrm{PE}$
17.48333333,46.348,$\mathit{I}_\mathrm{PE}$
17.5,48.3108,$\mathit{I}_\mathrm{PE}$
17.51666667,48.0395,$\mathit{I}_\mathrm{PE}$
17.53333333,48.0944,$\mathit{I}_\mathrm{PE}$
17.55,47.6943,$\mathit{I}_\mathrm{PE}$
17.56666667,46.9454,$\mathit{I}_\mathrm{PE}$
17.58333333,48.7526,$\mathit{I}_\mathrm{PE}$
17.6,46.1633,$\mathit{I}_\mathrm{PE}$
17.61666667,48.0768,$\mathit{I}_\mathrm{PE}$
17.63333333,48.2147,$\mathit{I}_\mathrm{PE}$
17.65,47.0828,$\mathit{I}_\mathrm{PE}$
17.66666667,47.4855,$\mathit{I}_\mathrm{PE}$
17.68333333,47.1826,$\mathit{I}_\mathrm{PE}$
17.7,45.5707,$\mathit{I}_\mathrm{PE}$
17.71666667,45.142,$\mathit{I}_\mathrm{PE}$
17.73333333,46.9309,$\mathit{I}_\mathrm{PE}$
17.75,45.5675,$\mathit{I}_\mathrm{PE}$
17.76666667,46.63,$\mathit{I}_\mathrm{PE}$
17.78333333,44.6431,$\mathit{I}_\mathrm{PE}$
17.8,46.6078,$\mathit{I}_\mathrm{PE}$
17.81666667,44.8452,$\mathit{I}_\mathrm{PE}$
17.83333333,44.5973,$\mathit{I}_\mathrm{PE}$
17.85,46.249,$\mathit{I}_\mathrm{PE}$
17.86666667,45.2685,$\mathit{I}_\mathrm{PE}$
17.88333333,46.1172,$\mathit{I}_\mathrm{PE}$
17.9,45.211,$\mathit{I}_\mathrm{PE}$
17.91666667,45.0658,$\mathit{I}_\mathrm{PE}$
17.93333333,45.0236,$\mathit{I}_\mathrm{PE}$
17.95,42.9801,$\mathit{I}_\mathrm{PE}$
17.96666667,42.7128,$\mathit{I}_\mathrm{PE}$
17.98333333,42.5416,$\mathit{I}_\mathrm{PE}$
18,41.1025,$\mathit{I}_\mathrm{PE}$
18.01666667,41.4214,$\mathit{I}_\mathrm{PE}$
18.03333333,40.212,$\mathit{I}_\mathrm{PE}$
18.05,40.0289,$\mathit{I}_\mathrm{PE}$
18.06666667,39.8041,$\mathit{I}_\mathrm{PE}$
18.08333333,37.911,$\mathit{I}_\mathrm{PE}$
18.1,38.7202,$\mathit{I}_\mathrm{PE}$
18.11666667,37.1006,$\mathit{I}_\mathrm{PE}$
18.13333333,36.9354,$\mathit{I}_\mathrm{PE}$
18.15,36.903,$\mathit{I}_\mathrm{PE}$
18.16666667,36.1497,$\mathit{I}_\mathrm{PE}$
18.18333333,35.3346,$\mathit{I}_\mathrm{PE}$
18.2,33.8518,$\mathit{I}_\mathrm{PE}$
18.21666667,32.8742,$\mathit{I}_\mathrm{PE}$
18.23333333,31.4318,$\mathit{I}_\mathrm{PE}$
18.25,31.021,$\mathit{I}_\mathrm{PE}$
18.26666667,30.5014,$\mathit{I}_\mathrm{PE}$
18.28333333,29.7129,$\mathit{I}_\mathrm{PE}$
18.3,27.8583,$\mathit{I}_\mathrm{PE}$
18.31666667,27.9189,$\mathit{I}_\mathrm{PE}$
18.33333333,27.9527,$\mathit{I}_\mathrm{PE}$
18.35,27.1833,$\mathit{I}_\mathrm{PE}$
18.36666667,27.0574,$\mathit{I}_\mathrm{PE}$
18.38333333,27.0739,$\mathit{I}_\mathrm{PE}$
18.4,27.4635,$\mathit{I}_\mathrm{PE}$
18.41666667,26.3788,$\mathit{I}_\mathrm{PE}$
18.43333333,26.4,$\mathit{I}_\mathrm{PE}$
18.45,26.4237,$\mathit{I}_\mathrm{PE}$
18.46666667,26.4955,$\mathit{I}_\mathrm{PE}$
18.48333333,24.9362,$\mathit{I}_\mathrm{PE}$
18.5,25.2112,$\mathit{I}_\mathrm{PE}$
18.51666667,24.6815,$\mathit{I}_\mathrm{PE}$
18.53333333,24.0031,$\mathit{I}_\mathrm{PE}$
18.55,23.5256,$\mathit{I}_\mathrm{PE}$
18.56666667,22.9824,$\mathit{I}_\mathrm{PE}$
18.58333333,23.4386,$\mathit{I}_\mathrm{PE}$
18.6,22.7876,$\mathit{I}_\mathrm{PE}$
18.61666667,22.6316,$\mathit{I}_\mathrm{PE}$
18.63333333,22.7226,$\mathit{I}_\mathrm{PE}$
18.65,22.1174,$\mathit{I}_\mathrm{PE}$
18.66666667,22.8656,$\mathit{I}_\mathrm{PE}$
18.68333333,22.6794,$\mathit{I}_\mathrm{PE}$
18.7,22.2688,$\mathit{I}_\mathrm{PE}$
18.71666667,20.7868,$\mathit{I}_\mathrm{PE}$
18.73333333,21.0435,$\mathit{I}_\mathrm{PE}$
18.75,21.378,$\mathit{I}_\mathrm{PE}$
18.76666667,21.1772,$\mathit{I}_\mathrm{PE}$
18.78333333,19.8494,$\mathit{I}_\mathrm{PE}$
18.8,20.277,$\mathit{I}_\mathrm{PE}$
18.81666667,19.9953,$\mathit{I}_\mathrm{PE}$
18.83333333,19.3608,$\mathit{I}_\mathrm{PE}$
18.85,19.3863,$\mathit{I}_\mathrm{PE}$
18.86666667,19.7126,$\mathit{I}_\mathrm{PE}$
18.88333333,18.7662,$\mathit{I}_\mathrm{PE}$
18.9,19.1265,$\mathit{I}_\mathrm{PE}$
18.91666667,18.2702,$\mathit{I}_\mathrm{PE}$
18.93333333,18.678,$\mathit{I}_\mathrm{PE}$
18.95,18.4028,$\mathit{I}_\mathrm{PE}$
18.96666667,17.9697,$\mathit{I}_\mathrm{PE}$
18.98333333,17.9552,$\mathit{I}_\mathrm{PE}$
19,17.5738,$\mathit{I}_\mathrm{PE}$
19.01666667,17.0838,$\mathit{I}_\mathrm{PE}$
19.03333333,16.7567,$\mathit{I}_\mathrm{PE}$
19.05,16.7697,$\mathit{I}_\mathrm{PE}$
19.06666667,16.0744,$\mathit{I}_\mathrm{PE}$
19.08333333,16.1812,$\mathit{I}_\mathrm{PE}$
19.1,16.5355,$\mathit{I}_\mathrm{PE}$
19.11666667,16.5521,$\mathit{I}_\mathrm{PE}$
19.13333333,15.3002,$\mathit{I}_\mathrm{PE}$
19.15,16.093,$\mathit{I}_\mathrm{PE}$
19.16666667,15.1691,$\mathit{I}_\mathrm{PE}$
19.18333333,15.7251,$\mathit{I}_\mathrm{PE}$
19.2,14.696,$\mathit{I}_\mathrm{PE}$
19.21666667,14.4423,$\mathit{I}_\mathrm{PE}$
19.23333333,14.4237,$\mathit{I}_\mathrm{PE}$
19.25,14.5285,$\mathit{I}_\mathrm{PE}$
19.26666667,14.4823,$\mathit{I}_\mathrm{PE}$
19.28333333,13.9605,$\mathit{I}_\mathrm{PE}$
19.3,13.7715,$\mathit{I}_\mathrm{PE}$
19.31666667,14.0787,$\mathit{I}_\mathrm{PE}$
19.33333333,13.4548,$\mathit{I}_\mathrm{PE}$
19.35,13.2231,$\mathit{I}_\mathrm{PE}$
19.36666667,13.7608,$\mathit{I}_\mathrm{PE}$
19.38333333,13.5066,$\mathit{I}_\mathrm{PE}$
19.4,13.2248,$\mathit{I}_\mathrm{PE}$
19.41666667,12.9819,$\mathit{I}_\mathrm{PE}$
19.43333333,13.0566,$\mathit{I}_\mathrm{PE}$
19.45,12.8226,$\mathit{I}_\mathrm{PE}$
19.46666667,12.6333,$\mathit{I}_\mathrm{PE}$
19.48333333,12.0583,$\mathit{I}_\mathrm{PE}$
19.5,12.2651,$\mathit{I}_\mathrm{PE}$
19.51666667,12.0659,$\mathit{I}_\mathrm{PE}$
19.53333333,11.3656,$\mathit{I}_\mathrm{PE}$
19.55,11.5847,$\mathit{I}_\mathrm{PE}$
19.56666667,11.4222,$\mathit{I}_\mathrm{PE}$
19.58333333,10.9778,$\mathit{I}_\mathrm{PE}$
19.6,11.1622,$\mathit{I}_\mathrm{PE}$
19.61666667,11.2179,$\mathit{I}_\mathrm{PE}$
19.63333333,11.1982,$\mathit{I}_\mathrm{PE}$
19.65,10.5355,$\mathit{I}_\mathrm{PE}$
19.66666667,10.9726,$\mathit{I}_\mathrm{PE}$
19.68333333,10.4036,$\mathit{I}_\mathrm{PE}$
19.7,10.1894,$\mathit{I}_\mathrm{PE}$
19.71666667,10.1944,$\mathit{I}_\mathrm{PE}$
19.73333333,10.4,$\mathit{I}_\mathrm{PE}$
19.75,10.0569,$\mathit{I}_\mathrm{PE}$
19.76666667,9.73345,$\mathit{I}_\mathrm{PE}$
19.78333333,10.088,$\mathit{I}_\mathrm{PE}$
19.8,10.0643,$\mathit{I}_\mathrm{PE}$
19.81666667,9.45121,$\mathit{I}_\mathrm{PE}$
19.83333333,9.28625,$\mathit{I}_\mathrm{PE}$
19.85,9.24779,$\mathit{I}_\mathrm{PE}$
19.86666667,9.55128,$\mathit{I}_\mathrm{PE}$
19.88333333,9.41302,$\mathit{I}_\mathrm{PE}$
19.9,9.05613,$\mathit{I}_\mathrm{PE}$
19.91666667,8.83986,$\mathit{I}_\mathrm{PE}$
19.93333333,8.9796,$\mathit{I}_\mathrm{PE}$
19.95,8.80743,$\mathit{I}_\mathrm{PE}$
19.96666667,8.97422,$\mathit{I}_\mathrm{PE}$
19.98333333,8.62919,$\mathit{I}_\mathrm{PE}$
20,8.23126,$\mathit{I}_\mathrm{PE}$
20.01666667,8.19833,$\mathit{I}_\mathrm{PE}$
20.03333333,8.21227,$\mathit{I}_\mathrm{PE}$
