Energy/keV,SE/counts,Energy_BSE/keV,Primary/counts,Primary100
1.14E+02,0.01504,190,0.001,0.1
1.14E+02,0.01439,191,0.00105,0.105
1.15E+02,0.01446,192,0.00099,0.099
1.16E+02,0.01448,193,0.00112,0.112
1.16E+02,0.014,194,0.00087,0.087
1.17E+02,0.01343,195,0.0011,0.11
1.17E+02,0.01398,196,0.00117,0.117
1.18E+02,0.0132,197,0.00108,0.108
1.19E+02,0.01319,198,0.00116,0.116
1.19E+02,0.01436,199,0.00131,0.131
1.20E+02,0.01391,200,0.00122,0.122
1.20E+02,0.01361,201,0.00139,0.139
1.21E+02,0.01422,202,0.00112,0.112
1.22E+02,0.01363,203,0.00131,0.131
1.22E+02,0.01361,204,0.00127,0.127
1.23E+02,0.01369,205,0.00155,0.155
1.23E+02,0.01325,206,0.00124,0.124
1.24E+02,0.01328,207,0.00145,0.145
1.25E+02,0.0131,208,0.0016,0.16
1.25E+02,0.01327,209,0.00135,0.135
1.26E+02,0.01314,210,0.00153,0.153
1.26E+02,0.01326,211,0.00139,0.139
1.27E+02,0.01297,212,0.00161,0.161
1.28E+02,0.01319,213,0.00181,0.181
1.28E+02,0.01328,214,0.00185,0.185
1.29E+02,0.01271,215,0.00159,0.159
1.29E+02,0.01321,216,0.00177,0.177
1.30E+02,0.01342,217,0.00209,0.209
1.31E+02,0.01301,218,0.00263,0.263
1.31E+02,0.01322,219,0.00481,0.481
1.32E+02,0.01342,220,0.00185,0.185
1.32E+02,0.01318,221,0.00205,0.205
1.33E+02,0.01377,222,0.0022,0.22
1.34E+02,0.01223,223,0.00201,0.201
1.34E+02,0.01298,224,0.00239,0.239
1.35E+02,0.01328,225,0.00209,0.209
1.35E+02,0.01281,226,0.00238,0.238
1.36E+02,0.01275,227,0.00224,0.224
1.37E+02,0.01298,228,0.0022,0.22
1.37E+02,0.0125,229,0.00219,0.219
1.38E+02,0.0132,230,0.00246,0.246
1.38E+02,0.01293,231,0.00266,0.266
1.39E+02,0.01293,232,0.00277,0.277
1.40E+02,0.01288,233,0.00281,0.281
1.40E+02,0.01331,234,0.00267,0.267
1.41E+02,0.01247,235,0.00303,0.303
1.41E+02,0.01292,236,0.00306,0.306
1.42E+02,0.0132,237,0.00317,0.317
1.43E+02,0.01266,238,0.00321,0.321
1.43E+02,0.01291,239,0.00314,0.314
1.44E+02,0.01321,240,0.00355,0.355
1.44E+02,0.01239,241,0.0033,0.33
1.45E+02,0.01224,242,0.00361,0.361
1.46E+02,0.01217,243,0.00383,0.383
1.46E+02,0.01218,244,0.00398,0.398
1.47E+02,0.0123,245,0.00418,0.418
1.47E+02,0.01118,246,0.00449,0.449
1.48E+02,0.01066,247,0.00452,0.452
1.49E+02,0.00804,248,0.00457,0.457
1.49E+02,0.0017,249,0.00463,0.463
1.50E+02,0.00002,250,0.00509,0.509
1.50E+02,0,251,0.0057,0.57
1.51E+02,0,252,0.00569,0.569
