X,Y,Edep
1,40,1.29636E-30
1,41,9.74924E-31
1,42,1.45178E-30
1,43,1.27065E-30
1,44,7.43751E-31
1,45,9.86048E-31
1,46,1.19618E-30
1,47,2.0952E-30
1,48,1.12596E-30
1,49,5.18431E-30
1,50,5.35943E-30
1,51,2.05466E-30
1,52,3.23725E-30
1,53,3.95031E-30
1,54,2.79036E-30
1,55,2.10902E-30
1,56,1.96648E-30
1,57,2.23796E-30
1,58,2.48567E-30
1,59,1.2109E-30
1,60,1.70068E-30
1,61,2.36995E-30
1,62,1.86044E-30
1,63,5.88204E-30
1,64,3.04179E-30
1,65,1.02888E-29
1,66,5.17848E-30
1,67,7.75677E-30
1,68,3.5917E-30
1,69,3.36638E-30
1,70,1.84198E-30
1,71,5.0478E-30
1,72,5.19841E-30
1,73,2.38519E-30
1,74,1.86612E-30
1,75,5.71199E-30
1,76,4.69883E-30
1,77,2.79715E-30
1,78,3.80633E-30
1,79,7.09029E-30
1,80,2.98889E-30
1,81,3.79959E-06
1,82,1.02839E-05
1,83,1.31014E-06
1,84,1.14319E-05
1,85,5.10743E-05
1,86,1.82999E-05
1,87,3.02894E-05
1,88,0.000272852
1,89,0.000240621
1,90,0.000629787
1,91,0.000712891
1,92,0.001375365
1,93,0.00042548
1,94,0.001766207
1,95,0.003988891
1,96,0.008558683
1,97,0.00888235
1,98,0.021229156
1,99,0.207190754
1,100,0.605390377
1,101,0.022648093
1,102,0.011168473
1,103,0.002821665
1,104,0.002289561
1,105,0.001474582
1,106,0.000332015
1,107,0.000179701
1,108,0.000781645
1,109,8.57717E-05
1,110,3.26763E-05
1,111,0.000112608
1,112,0.000193681
1,113,5.6769E-05
1,114,0.000108351
1,115,4.27123E-05
1,116,2.25494E-05
1,117,2.91012E-05
1,118,1.02401E-05
1,119,5.23024E-30
1,120,1.48849E-29
1,121,7.39024E-30
1,122,1.95589E-29
1,123,4.58461E-30
1,124,1.07987E-29
1,125,6.31244E-30
1,126,2.07511E-31
1,127,4.13862E-30
1,128,1.79896E-31
1,129,5.80166E-30
1,130,1.72008E-29
1,131,6.04918E-30
1,132,4.06089E-30
1,133,3.43556E-30
1,134,4.10573E-30
1,135,3.55972E-30
1,136,2.61609E-30
1,137,1.22718E-30
1,138,8.38138E-31
1,139,1.30166E-30
1,140,1.89721E-30
1,141,4.6028E-30
1,142,9.04382E-31
1,143,7.02911E-31
1,144,1.10072E-29
1,145,4.47076E-30
1,146,2.47806E-30
1,147,2.30552E-30
1,148,1.52586E-30
1,149,7.63736E-31
1,150,2.02074E-30
1,151,1.98243E-30
1,152,2.88744E-30
1,153,2.05019E-30
1,154,1.65782E-30
1,155,1.79157E-30
1,156,2.92963E-30
1,157,1.43057E-30
1,158,1.26558E-30
1,159,1.51519E-30
1,160,1.12558E-30
1,161,1.56319E-30
1,162,3.40973E-30
