T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
9.366666667,1.39583E-09,4.75793E-09,4.75793,1.395834495
9.383333333,1.39762E-09,4.67276E-09,4.67276,1.397620495
9.4,1.39941E-09,4.64745E-09,4.64745,1.399406494
9.416666667,1.40119E-09,4.76138E-09,4.76138,1.401192493
9.433333333,1.40298E-09,4.86967E-09,4.86967,1.402978493
9.45,1.40476E-09,4.71986E-09,4.71986,1.404764492
9.466666667,1.40655E-09,4.73815E-09,4.73815,1.406550491
9.483333333,1.40834E-09,4.65527E-09,4.65527,1.40833649
9.5,1.41012E-09,4.82731E-09,4.82731,1.41012249
9.516666667,1.41191E-09,4.74959E-09,4.74959,1.411908489
9.533333333,1.41369E-09,4.61108E-09,4.61108,1.413694488
9.55,1.41548E-09,4.89657E-09,4.89657,1.415480488
9.566666667,1.41727E-09,4.85252E-09,4.85252,1.417266487
9.583333333,1.41905E-09,4.69643E-09,4.69643,1.419052486
9.6,1.42084E-09,4.69534E-09,4.69534,1.420838486
9.616666667,1.42262E-09,4.92622E-09,4.92622,1.422624485
9.633333333,1.42441E-09,4.77247E-09,4.77247,1.424410484
9.65,1.4262E-09,4.72219E-09,4.72219,1.426196483
9.666666667,1.42798E-09,4.66653E-09,4.66653,1.427982483
9.683333333,1.42977E-09,4.74612E-09,4.74612,1.429768482
9.7,1.43155E-09,4.77169E-09,4.77169,1.431554481
9.716666667,1.43334E-09,4.89597E-09,4.89597,1.433340481
9.733333333,1.43513E-09,4.80407E-09,4.80407,1.43512648
9.75,1.43691E-09,4.703E-09,4.703,1.436912479
9.766666667,1.4387E-09,4.73854E-09,4.73854,1.438698478
9.783333333,1.44048E-09,4.76551E-09,4.76551,1.440484478
9.8,1.44227E-09,4.99241E-09,4.99241,1.442270477
9.816666667,1.44406E-09,4.91655E-09,4.91655,1.444056476
9.833333333,1.44584E-09,4.73023E-09,4.73023,1.445842476
9.85,1.44763E-09,4.81428E-09,4.81428,1.447628475
9.866666667,1.44941E-09,5.0116E-09,5.0116,1.449414474
9.883333333,1.4512E-09,4.97809E-09,4.97809,1.451200473
9.9,1.45299E-09,4.84831E-09,4.84831,1.452986473
9.916666667,1.45477E-09,4.93761E-09,4.93761,1.454772472
9.933333333,1.45656E-09,4.84719E-09,4.84719,1.456558471
9.95,1.45834E-09,5.01076E-09,5.01076,1.458344471
9.966666667,1.46013E-09,5.04649E-09,5.04649,1.46013047
9.983333333,1.46192E-09,4.8976E-09,4.8976,1.461916469
10,1.4637E-09,5.01259E-09,5.01259,1.463702468
