section,coordinate_um,X,Y,Z,Edep
"x=0, y=0",-0.195,0,100,61,4.385405598726535e-32
"x=0, y=0",-0.19,0,100,62,9.706448619715482e-32
"x=0, y=0",-0.185,0,100,63,4.058140747460376e-32
"x=0, y=0",-0.18,0,100,64,1.315256620949443e-31
"x=0, y=0",-0.175,0,100,65,6.107589033387564e-32
"x=0, y=0",-0.17,0,100,66,8.120150921663039e-32
"x=0, y=0",-0.165,0,100,67,1.719608927747124e-31
"x=0, y=0",-0.16,0,100,68,9.291279759776533e-32
"x=0, y=0",-0.155,0,100,69,1.986880937879249e-31
"x=0, y=0",-0.15,0,100,70,1.0809960061838919e-31
"x=0, y=0",-0.145,0,100,71,2.0223149066168957e-31
"x=0, y=0",-0.14,0,100,72,7.6512895840177e-32
"x=0, y=0",-0.135,0,100,73,6.724829505296797e-32
"x=0, y=0",-0.13,0,100,74,1.7582432580842995e-31
"x=0, y=0",-0.125,0,100,75,1.9174835498323115e-31
"x=0, y=0",-0.12,0,100,76,1.733524088830792e-31
"x=0, y=0",-0.115,0,100,77,1.9807283263372968e-31
"x=0, y=0",-0.11,0,100,78,3.3042604467712372e-31
"x=0, y=0",-0.105,0,100,79,1.8741490368672552e-31
"x=0, y=0",-0.1,0,100,80,1.5280332752038675e-31
"x=0, y=0",-0.095,0,100,81,4.347794380503495e-31
"x=0, y=0",-0.09,0,100,82,5.332117442987317e-31
"x=0, y=0",-0.085,0,100,83,1.3354819026607543e-31
"x=0, y=0",-0.08,0,100,84,3.4788181486312816e-31
"x=0, y=0",-0.075,0,100,85,2.1090410818612847e-31
"x=0, y=0",-0.07,0,100,86,1.613382291362745e-31
"x=0, y=0",-0.065,0,100,87,1.6641476090695659e-07
"x=0, y=0",-0.06,0,100,88,3.748013721048838e-07
"x=0, y=0",-0.055,0,100,89,2.598016190360807e-07
"x=0, y=0",-0.05,0,100,90,9.097989627804957e-07
"x=0, y=0",-0.045,0,100,91,1.4204545696768302e-06
"x=0, y=0",-0.04,0,100,92,8.524294145603608e-06
"x=0, y=0",-0.035,0,100,93,4.019977550494559e-05
"x=0, y=0",-0.03,0,100,94,1.0089181759087767e-05
"x=0, y=0",-0.025,0,100,95,2.557059646423973e-05
"x=0, y=0",-0.02,0,100,96,4.456924480830304e-05
"x=0, y=0",-0.015,0,100,97,0.0001067749770854
"x=0, y=0",-0.01,0,100,98,0.0002474946675338
"x=0, y=0",-0.005,0,100,99,0.0015216961689487
"x=0, y=0",0.0,0,100,100,0.0192309665512085
"x=0, y=0",0.005,0,100,101,0.0015216961689487
"x=0, y=0",0.01,0,100,102,0.0002474946675338
"x=0, y=0",0.015,0,100,103,0.0001067749770854
"x=0, y=0",0.02,0,100,104,4.456924480830304e-05
"x=0, y=0",0.025,0,100,105,2.557059646423973e-05
