t_ns,T_centre_K,T_max_K
2.069182389937106736e-01,1.042777766899960625e+03,1.064552199866812316e+03
2.083857442348008293e-01,1.044635290917205111e+03,1.066488925845850645e+03
2.098532494758909850e-01,1.046478031017603826e+03,1.068408734647776782e+03
2.113207547169811407e-01,1.048306135560578014e+03,1.070311813705440727e+03
2.127882599580712686e-01,1.050119750570270980e+03,1.072198347505791162e+03
2.142557651991614243e-01,1.051919019792873542e+03,1.074068517654390234e+03
2.157232704402515799e-01,1.053704084752100471e+03,1.075922502938114803e+03
2.171907756813417079e-01,1.055475084802893662e+03,1.077760479386108955e+03
2.186582809224318635e-01,1.057232157183421577e+03,1.079582620329048041e+03
2.201257861635219915e-01,1.058975437065437518e+03,1.081389096456768812e+03
2.215932914046121749e-01,1.060705057603059231e+03,1.083180075874327486e+03
2.230607966457023028e-01,1.062421149980033988e+03,1.084955724156531232e+03
2.245283018867924585e-01,1.064123843455538008e+03,1.086716204401000368e+03
2.259958071278825864e-01,1.065813265408572533e+03,1.088461677279807191e+03
2.274633123689727421e-01,1.067489541381003846e+03,1.090192301089737612e+03
2.289308176100628978e-01,1.069152795119297934e+03,1.091908231801222428e+03
2.303983228511530257e-01,1.070803148614998236e+03,1.093609623105980972e+03
2.318658280922431814e-01,1.072440722143991252e+03,1.095296626463416487e+03
2.333333333333333648e-01,1.074065634304603464e+03,1.096969391145806185e+03
2.348008385744234650e-01,1.075678002054571152e+03,1.098628064282322157e+03
2.362683438155136206e-01,1.077277940746924060e+03,1.100272790901920644e+03
2.377358490566037763e-01,1.078865564164819716e+03,1.101903713975133769e+03
2.392033542976939042e-01,1.080440984555366640e+03,1.103520974454800580e+03
2.406708595387840599e-01,1.082004312662470511e+03,1.105124711315766490e+03
2.421383647798742156e-01,1.083555657758735606e+03,1.106715572960588588e+03
2.436058700209643713e-01,1.085095127676459924e+03,1.108300758060549015e+03
2.450733752620544992e-01,1.086622828837744464e+03,1.109872991545087189e+03
2.465408805031446549e-01,1.088138866283759171e+03,1.111432399969294920e+03
2.480083857442348105e-01,1.089643343703182609e+03,1.112979108189786757e+03
2.494758909853249385e-01,1.091136363459850600e+03,1.114513239397237385e+03
2.509433962264150941e-01,1.092618026619636339e+03,1.116034915148105256e+03
2.524109014675052221e-01,1.094088432976590184e+03,1.117544255395574055e+03
2.538784067085954055e-01,1.095547681078360029e+03,1.119041378519728369e+03
2.553459119496855334e-01,1.096995868250918420e+03,1.120526401356990618e+03
2.568134171907756613e-01,1.098433090622618465e+03,1.121999439228838355e+03
2.582809224318658448e-01,1.099859443147600587e+03,1.123460605969827611e+03
2.597484276729559727e-01,1.101275019628568089e+03,1.124910013954934357e+03
2.612159329140461006e-01,1.102679912738957455e+03,1.126347774126243849e+03
2.626834381551362840e-01,1.104074214044515884e+03,1.127773996018998105e+03
2.641509433962264120e-01,1.105458014024311069e+03,1.129188787787025149e+03
2.656184486373165399e-01,1.106831402091185282e+03,1.130592256227565258e+03
2.670859538784067233e-01,1.108194466611678308e+03,1.131984506805512638e+03
2.685534591194968512e-01,1.109547294925426741e+03,1.133365643677088201e+03
2.700209643605869791e-01,1.110889973364064417e+03,1.134735769712959382e+03
2.714884696016771626e-01,1.112222587269634914e+03,1.136094986520823113e+03
2.729559748427672905e-01,1.113545221012530646e+03,1.137443394467466078e+03
2.744234800838574739e-01,1.114857958008976766e+03,1.138781092700318368e+03
2.758909853249475463e-01,1.116160880738068727e+03,1.140108179168511242e+03
2.773584905660377298e-01,1.117454070758382159e+03,1.141424750643456491e+03
2.788259958071279132e-01,1.118737608724163920e+03,1.142730902738957411e+03
2.802935010482179856e-01,1.120011574401118196e+03,1.144026729930866168e+03
2.817610062893081690e-01,1.121276046681802882e+03,1.145312325576297553e+03
2.832285115303983525e-01,1.122531103600640790e+03,1.146587781932415055e+03
2.846960167714884804e-01,1.123776822348564792e+03,1.147853190174794463e+03
2.861635220125786083e-01,1.125013279287303476e+03,1.149108640415383434e+03
2.876310272536687362e-01,1.126240549963317335e+03,1.150354221720061787e+03
2.890985324947589197e-01,1.127458709121400034e+03,1.151590022125816404e+03
2.905660377358490476e-01,1.128667830717947936e+03,1.152816128657541412e+03
2.920335429769391755e-01,1.129867987933914264e+03,1.154032627344469120e+03
2.935010482180293589e-01,1.131059253187453123e+03,1.155239603236247149e+03
2.949685534591195424e-01,1.132241698146262479e+03,1.156437140418666559e+03
2.964360587002096148e-01,1.133415393739637238e+03,1.157625322029052313e+03
2.979035639412997982e-01,1.134580410170236973e+03,1.158804230271324286e+03
2.993710691823899261e-01,1.135736816925579660e+03,1.159973946430736532e+03
3.008385744234800541e-01,1.136884682789268936e+03,1.161134550888303693e+03
3.023060796645702375e-01,1.138024075851959424e+03,1.162286123134923400e+03
